66 199.852 462.55 662.402
128 400.66066666666666 1635.7573333333332 2036.418
242 773.1313333333334 2930.308666666667 3703.44
496 1850.732 12611.573333333334 14462.305333333334
968 3401.3486666666668 18688.76 22090.108666666667
1922 5767.584 54426.140666666666 60193.72466666667
3872 11846.431333333334 106479.88266666667 118326.314
7688 27405.444666666666 267132.278 294537.72266666667
14112 42553.604 473826.22266666667 516379.82666666666
28203 79492.47666666667 733414.9246666667 812907.4013333333
56280 190508.47533333334 1914045.1833333333 2104553.6586666666
