66 154.672 510.67266666666666 665.3446666666666
128 301.274 1938.6506666666667 2239.924666666667
242 598.1286666666666 3135.828666666667 3733.9573333333333
496 1556.58 15765.378666666667 17321.958666666666
968 2571.496 21651.604666666666 24223.100666666665
1922 4106.449333333333 61065.880666666664 65172.33
3872 8179.918 112001.45333333334 120181.37133333333
7688 22255.354 336746.8526666667 359002.20666666667
14112 27777.940666666665 527079.6233333333 554857.564
28203 55096.26933333333 816884.71 871980.9793333333
56280 120800.02333333333 2116210.346 2237010.3693333333
